cardClass,cost,dbfId,flavor,id,name,rarity,spellSchool,text,type,attack,health,races,durability
HUNTER,3.0,102151,Whoever put these fossils together must be really careless.,DEEP_001,Mismatched Fossils,RARE,,"<b>Discover</b> a Beast
and an Undead.
Swap their stats.",SPELL,,,,
MAGE,3.0,102152,Always Hiffar.,DEEP_002,Elemental Companion,RARE,,Summon a random Elemental Companion.,SPELL,,,,
HUNTER,1.0,102158,I hope I don't jinx the outcome.,DEEP_003,Shimmer Shot,COMMON,ARCANE,Deal $1 damage. Summon a random minion of that Cost.,SPELL,,,,
MAGE,5.0,102160,You got a fireplace? I've got a guy who shapes mantles.,DEEP_004,Mantle Shaper,COMMON,,"Costs (1) less for
each spell you've cast while holding this.",MINION,5.0,5.0,"['ELEMENTAL', 'NAGA']",
HUNTER,6.0,102161,What is this? A Reven for Ants?!,DEEP_005,Obsidian Revenant,COMMON,,"[x]<b>Taunt</b>
<b>Deathrattle</b>: Summon two
random <b>Deathrattle</b> minions
that cost (3) or less.",MINION,4.0,6.0,['ELEMENTAL'],
NEUTRAL,6.0,102162,"""I am the great Stone Drake - good morning!""",DEEP_006,Stone Drake,COMMON,,"<b>Divine Shield</b>, <b>Taunt</b>,
<b>Lifesteal</b>, <b>Elusive</b>",MINION,2.0,8.0,"['ELEMENTAL', 'DRAGON']",
PALADIN,3.0,102163,And exactly how does Finley turn everyone into a murloc?,DEEP_007,"Sir Finley, the Intrepid",LEGENDARY,,"[x]<b>Battlecry</b>: If you've <b>Excavated</b>
twice, transform all enemy
minions into 1/1 Murlocs.",MINION,2.0,3.0,['MURLOC'],
SHAMAN,2.0,102172,You put the Needlerock in to get the Bloodrock out.,DEEP_008,Needlerock Totem,COMMON,,"At the end of your turn, gain 2 Armor and
draw a card.",MINION,0.0,2.0,['TOTEM'],
SHAMAN,4.0,102173,You only make this mistake once.,DEEP_009,Digging Straight Down,COMMON,NATURE,"Deal $8 damage
to a minion.
<b>Excavate</b> a treasure.",SPELL,,,,
WARRIOR,4.0,102175,They look shocked right now!,DEEP_010,Aftershocks,RARE,NATURE,"Deal $1 damage to all minions, three times. Costs (1) less if you cast a spell last turn.",SPELL,,,,
WARRIOR,1.0,102249,A 100% ethically sourced fire elemental heart is very hard to come by. This one definitely wasn't.,DEEP_011,Burning Heart,COMMON,FIRE,"Deal $2 damage to a minion. If it survives, give your hero +3 Attack this turn.",SPELL,,,,
DEMONHUNTER,1.0,102250,Sharing is caring - and they don't care.,DEEP_012,Shadestone Skulker,RARE,,"[x]<b>Rush</b>. <b>Battlecry:</b> Take your
 weapon and gain its stats. 
<b>Deathrattle:</b> Give it back.",MINION,1.0,1.0,['ELEMENTAL'],
DEMONHUNTER,4.0,102252,"This will clear the board, I'm fisSURE of it!",DEEP_013,Fel Fissure,RARE,FEL,"Deal $2 damage to all minions. At the start of your next turn, deal $2 more damage to all minions.",SPELL,,,,
ROGUE,2.0,102254,QUICK! Pick which quick pick trick will stick in the thick of the wick! Lickety split!,DEEP_014,Quick Pick,COMMON,,"After your hero attacks, draw a card.",WEAPON,1.0,,,2.0
DEATHKNIGHT,3.0,104524,It's creaky and it's rusty! It's spooky and it's dusty!,DEEP_015,Prosthetic Hand,RARE,,"<b>Magnetic</b>, <b>Reborn</b>
Can <b>Magnetize</b> to
Mechs or Undead.",MINION,3.0,1.0,['MECHANICAL'],
DEATHKNIGHT,4.0,104523,It's not just a weapon… it's a rock!,DEEP_016,Quartzite Crusher,COMMON,,<b>Lifesteal</b>. <b>Freeze</b> any character damaged by your hero.,WEAPON,3.0,,,3.0
DEATHKNIGHT,2.0,102418,They'll be fiiiiiiiiine.,DEEP_017,Mining Casualties,COMMON,,"Summon two 1/1 Silver Hand Recruits with ""<b>Deathrattle:</b> Summon
a 1/1 Frail Ghoul"".",SPELL,,,,
PALADIN,2.0,104526,"As Globb shroominated on his situation, toiling endlessly in the mushroom mines, he came to the startling realization. His boss wasn't a very fun guy.",DEEP_018,Shroomscavate,COMMON,,Give a minion <b>Divine Shield</b>. <b>Excavate</b> a treasure.,SPELL,,,,
WARRIOR,4.0,104530,Idk. Looks pink to me.,DEEP_019,Crimson Expanse,COMMON,,"[x]Choose a damaged
minion. Summon a copy
of it that goes <b>Dormant</b>
for one turn.",LOCATION,,2.0,,
WARRIOR,8.0,104528,This is a very on-brannd effect.,DEEP_020,Deepminer Brann,LEGENDARY,,"[x]<b>Battlecry:</b> If your deck started
with no duplicates, your
<b>Battlecries</b> trigger twice for
the rest of the game.",MINION,2.0,4.0,,
PRIEST,5.0,104537,Anduin will literally take your stuff and say it's a Shadow Word.,DEEP_021,Shadow Word: Steal,RARE,SHADOW,Return an enemy minion to YOUR hand.,SPELL,,,,
ROGUE,1.0,102421,Worth its weight in rocks.,DEEP_022,Fool's Gold,RARE,,Get a random Golden Pirate and Elemental from other classes.,SPELL,,,,
PRIEST,2.0,102422,This will be a staple in Unicorn Priest.,DEEP_023,Hidden Gem,COMMON,,"<b>Stealth</b>
At the end of your turn, restore #2 Health to all friendly characters.",MINION,2.0,2.0,['ELEMENTAL'],
PRIEST,4.0,102424,"Believe it or not, this is Tram Conductor Gerry's Gyreworm. But is it pronounced Gerry's Gyreworm, Gerry's Gyreworm, Gerry's Gyreworm, or Gerry's Gyreworm?",DEEP_024,Glowstone Gyreworm,RARE,,"[x]<b><b>Lifesteal</b>
Quickdraw:</b> Deal 5 damage.
<b>Forge:</b> Change <b>Quickdraw</b>
to <b>Battlecry</b>.",MINION,4.0,4.0,['ELEMENTAL'],
PRIEST,5.0,102423,"Get mad at your mirror once, see Shattered Reflections forever :(",DEEP_025,Shattered Reflections,RARE,,"Choose a non-<b>Titan</b>
minion. Add a copy of it to
your deck and battlefield.",SPELL,,,,
PRIEST,3.0,102426,Eaaaarrrrthhhhhh Pendaaaannnttttt Poweeerrrrrrrrrrr!!!!!!!!,DEEP_026,Pendant of Earth,COMMON,NATURE,"[x]<b>Discover</b> a minion
 from your deck. Restore
Health to your hero
equal to its Cost.",SPELL,,,,
DRUID,4.0,102427,"From the same people who brought you <b>Choose One</b>, and <b>Choose Twice</b>, comes the exciting prequel: <b>Choose NEITHER</b>!",DEEP_027,Gloomstone Guardian,RARE,,"[x]<b>Taunt</b>. <b>Choose One -</b>
Discard 2 cards; or Destroy
one of your Mana Crystals.
<b>Forge:</b> Do NEITHER.",MINION,6.0,8.0,['ELEMENTAL'],
DRUID,6.0,102432,And if you can't fit any of the Elementals… do better.,DEEP_028,Crystal Cluster,COMMON,,Gain three empty Mana Crystals. Any that can't fit summon a 3/7 Elemental with <b>Taunt</b>.,SPELL,,,,
DRUID,3.0,102434,Oh no! You're throwing valuable gems at me! Please stop!,DEEP_029,Trogg Gemtosser,COMMON,,<b>Finale:</b> Deal 1 damage to a random enemy for each of your Mana Crystals.,MINION,3.0,2.0,,
WARLOCK,2.0,102435,"Elementium, my dear Geode.",DEEP_030,Elementium Geode,RARE,,"<b>Battlecry and Deathrattle:</b>
Draw a card. Deal 2 damage to your hero.",MINION,2.0,1.0,['ELEMENTAL'],
WARLOCK,6.0,102443,So THIS is who's been <b>Greening</b> everything!,DEEP_031,Chaos Creation,COMMON,FEL,"Deal $5 damage.
Summon a random 5-Cost
minion. Destroy the bottom
5 cards of your deck.",SPELL,,,,
WARLOCK,1.0,102724,An effective way to freeze someone's soul is to just freeze their body.,DEEP_032,Soulfreeze,RARE,FROST,"<b>Freeze</b> a minion
and its neighbors. Deal damage to your hero equal to the number <b>Frozen</b>.",SPELL,,,,
PALADIN,4.0,102728,He's not that bad if you don't die turn 4.,DEEP_033,Fossilized Kaleidosaur,RARE,,"<b>Battlecry:</b> Gain two
random <b>bonus effects</b>.
<b>Excavate</b> a treasure.",MINION,3.0,4.0,"['UNDEAD', 'BEAST']",
NEUTRAL,2.0,102732,The 2nd member of the VERY exclusive Is-Called-A-Spider-But-Isn't-A-Beast Club.,DEEP_034,Shale Spider,RARE,,"<b>Battlecry:</b> If you played an Elemental last turn, draw a card.",MINION,3.0,2.0,['ELEMENTAL'],
NEUTRAL,3.0,102733,This card smells of iride.,DEEP_035,Iridescent Gyreworm,EPIC,,"<b>Deathrattle:</b> Give each
of your minions a random <b>bonus effect</b>.",MINION,4.0,3.0,['ELEMENTAL'],
NEUTRAL,7.0,104573,"You thought we forgot about her, didn't you? *nervous laughter*",DEEP_036,Therazane,LEGENDARY,,"[x]<b>Taunt</b>
 <b>Deathrattle:</b> Double the
stats of all Elementals in
your hand and deck.",MINION,7.0,5.0,['ELEMENTAL'],
NEUTRAL,7.0,102741,"Savior of the World Pillar, Maruut valiantly fought the Twilight's Hammer to aid Therazane against the Cataclysm.",DEEP_037,Maruut Stonebinder,LEGENDARY,,"[x]<b>Battlecry:</b> If your deck started
with no duplicates, <b>Discover</b> an
Elemental to summon. Add
the others to your hand.",MINION,5.0,6.0,,
NEUTRAL,9.0,60443,It really just wants to cuddle all the creatures of Azeroth.,DMF_002,"N'Zoth, God of the Deep",LEGENDARY,,<b>Battlecry:</b> Resurrect a friendly minion of each minion type.,MINION,5.0,7.0,,
NEUTRAL,10.0,60445,Yogg take the wheel!,DMF_004,"Yogg-Saron, Master of Fate",LEGENDARY,,"[x]<b>Battlecry:</b> If you've cast
10 spells this game, spin
the Wheel of Yogg-Saron.@
<i>({0} left!)</i>@
<i>(Ready!)</i>",MINION,7.0,5.0,,
NEUTRAL,2.0,60916,Still doesn't understand why he can't beat Paper Rager.,DMF_044,Rock Rager,COMMON,,<b>Taunt</b>,MINION,5.0,1.0,['ELEMENTAL'],
PRIEST,9.0,61434,"An attempted cure becomes disease, blooming and thriving as rot and decay.",DMF_053,Blood of G'huun,EPIC,,"[x]<b>Taunt</b>
At the end of your turn,
summon a 5/5 copy of a
minion in your deck.",MINION,8.0,8.0,['ELEMENTAL'],
PRIEST,2.0,61435,Shouldn't the eyes be facing backwards for insight?,DMF_054,Insight,COMMON,SHADOW,Draw a minion. <b>Corrupt:</b> Reduce its Cost by (2).,SPELL,,,,
PRIEST,8.0,61436,"Without a tongue, it speaks in seven. Without a voice, its echo lingers forever.",DMF_055,Idol of Y'Shaarj,EPIC,SHADOW,Summon a 10/10 copy of a minion in your deck.,SPELL,,,,
PRIEST,8.0,61437,All of the other Old Gods used to laugh and call him names. They never let poor G'huun join in any Old God games.,DMF_056,G'huun the Blood God,LEGENDARY,,<b>Battlecry:</b> Draw 2 cards. They cost Health instead of Mana.,MINION,8.0,8.0,,
DRUID,2.0,61449,When the Azeroth is between the Sun and the Moon.,DMF_057,Lunar Eclipse,COMMON,ARCANE,Deal $3 damage to a minion. Your next spell this turn costs (2) less.,SPELL,,,,
DRUID,2.0,61450,When the Moon is between the Sun and the Azeroth.,DMF_058,Solar Eclipse,COMMON,NATURE,The next spell you cast this turn casts twice.,SPELL,,,,
DRUID,9.0,61460,Loved. Hated. Carbonated.,DMF_059,Fizzy Elemental,RARE,,"<b>Rush</b>
<b>Taunt</b>",MINION,10.0,10.0,['ELEMENTAL'],
DRUID,7.0,61461,It sleeps with one eye open.,DMF_060,Umbral Owl,RARE,,"[x]<b>Rush</b>
Costs (1) less for each spell
you've cast this game.",MINION,4.0,4.0,['BEAST'],
DRUID,3.0,61462,The bad apple never falls far from the treant.,DMF_061,Faire Arborist,COMMON,,"[x]<b>Choose One - </b>Draw a card;
or Summon a 2/2 Treant.
<b>Corrupt:</b> Do both.",MINION,2.0,2.0,,
NEUTRAL,3.0,61580,This game of ring toss just got really intense.,DMF_062,Gyreworm,COMMON,,"<b>Battlecry:</b> If you played an Elemental last turn, deal 3 damage.",MINION,3.0,2.0,['ELEMENTAL'],
PALADIN,5.0,61581,"""When does this bird land in Stormwind? I've been flying for hours!""",DMF_064,Carousel Gryphon,COMMON,,"<b>Divine Shield</b>
<b>Corrupt:</b> Gain +3/+3 and <b>Taunt</b>.",MINION,5.0,5.0,"['MECHANICAL', 'BEAST']",
NEUTRAL,3.0,61616,There's always money in the banana stand.,DMF_065,Banana Vendor,COMMON,,<b>Battlecry:</b> Add 2 Bananas to each player's hand.,MINION,2.0,4.0,,
NEUTRAL,4.0,61620,"""They're perfectly safe! These gloves totally aren't hiding any bandages.""",DMF_066,Knife Vendor,COMMON,,<b>Battlecry:</b> Deal 4 damage to each hero.,MINION,3.0,4.0,,
NEUTRAL,2.0,61622,He's just making sure they're real. Authentic tickets taste like strawberry.,DMF_067,Prize Vendor,COMMON,,<b>Battlecry:</b> Each player draws a card.,MINION,2.0,3.0,['MURLOC'],
NEUTRAL,5.0,61625,"""What if this goes wrong?"" ""But what if this goes right?""",DMF_068,Optimistic Ogre,COMMON,,50% chance to attack the correct enemy.,MINION,6.0,7.0,,
NEUTRAL,6.0,61626,"""I have been mrglrlglr… chosen!""",DMF_069,Claw Machine,COMMON,,<b>Rush</b>. <b>Deathrattle:</b> Draw a minion and give it +3/+3.,MINION,6.0,3.0,['MECHANICAL'],
NEUTRAL,10.0,61629,"That's no ordinary rabbit! That's the most foul, cruel, and bad-tempered rodent you ever set eyes on!",DMF_070,Darkmoon Rabbit,EPIC,,"<b>Rush</b>, <b>Poisonous</b>
Also damages the minions next to whomever this attacks.",MINION,1.0,1.0,['BEAST'],
ROGUE,2.0,61635,"Red, the color of subtlety.",DMF_071,Tenwu of the Red Smoke,LEGENDARY,,<b>Battlecry:</b> Return a friendly minion to your hand. It costs (1) this turn.,MINION,3.0,2.0,,
NEUTRAL,3.0,61639,"""It's dirigible? I don’t even know what diriging is!""",DMF_073,Darkmoon Dirigible,COMMON,,"<b>Divine Shield</b>
<b>Corrupt:</b> Gain <b>Rush</b>.",MINION,3.0,2.0,['MECHANICAL'],
NEUTRAL,7.0,61640,"""You might remember me from such attractions as 'Being Shot out of a Cannon' or 'That Carousel Ate My Friend.'""",DMF_074,Silas Darkmoon,LEGENDARY,,<b>Battlecry:</b> Choose a direction to rotate all minions.,MINION,4.0,4.0,,
DRUID,2.0,61649,"""And then at the last second, I'll shapeshift into cat form!""",DMF_075,Guess the Weight,EPIC,,Draw a card. Guess if your next card costs more or less to draw it.,SPELL,,,,
NEUTRAL,7.0,61670,"Sure, it looks impressive until you realize it's a barrel of helium.",DMF_078,Strongman,COMMON,,"<b>Taunt</b>
<b>Corrupt:</b> This costs (0).",MINION,6.0,6.0,,
NEUTRAL,3.0,61672,"Improvise, adapt, overcome.",DMF_079,Inconspicuous Rider,COMMON,,<b>Battlecry:</b> Cast a <b>Secret</b> from your deck.,MINION,2.0,2.0,,
NEUTRAL,5.0,61674,Guest interactions may vary over the duration of the visit.,DMF_080,Fleethoof Pearltusk,COMMON,,"<b>Rush</b>
<b>Corrupt:</b> Gain +4/+4.",MINION,4.0,4.0,['BEAST'],
NEUTRAL,3.0,61676,Something evil this way comes… and it's bringing friends over!,DMF_081,K'thir Ritualist,RARE,,"[x]<b>Taunt</b>
<b>Battlecry:</b> Add a random
4-Cost minion to your
opponent's hand.",MINION,4.0,4.0,,
NEUTRAL,3.0,61677,"As far as workplace injuries go, Silas is protected by his statue of limitations.",DMF_082,Darkmoon Statue,COMMON,,Your other minions have +1 Attack. <b>Corrupt:</b> This gains +4 Attack.,MINION,0.0,5.0,,
HUNTER,2.0,61679,Snakes are just tentacles with fangs.,DMF_083,Dancing Cobra,COMMON,,<b>Corrupt:</b> Gain <b>Poisonous</b>.,MINION,1.0,5.0,['BEAST'],
HUNTER,8.0,61690,This coveted gem calls for you to free it… and unleash an inescapable prison.,DMF_084,Jewel of N'Zoth,EPIC,,Summon three friendly <b>Deathrattle</b> minions that died this game.,SPELL,,,,
HUNTER,7.0,61699,"""Ready to roll out!""",DMF_085,Darkmoon Tonk,RARE,,<b>Deathrattle:</b> Fire four  missiles at random enemies that deal 2 damage each.,MINION,8.0,5.0,['MECHANICAL'],
HUNTER,3.0,61700,Welcome to the petting zoo. DO NOT TOUCH THE ANIMALS.,DMF_086,Petting Zoo,RARE,,Summon a 3/3 Strider. Repeat for each <b>Secret</b> you control.,SPELL,,,,
HUNTER,5.0,61702,"""Whew. I thought you said 'Trampoline Rhino.' Now that would have been scary.""",DMF_087,Trampling Rhino,RARE,,"<b>Rush</b>. After this attacks
and kills a minion, excess damage hits the enemy hero.",MINION,5.0,5.0,['BEAST'],
HUNTER,4.0,61839,This rifle needs a muzzle for its muzzle.,DMF_088,Rinling's Rifle,LEGENDARY,,"After your hero attacks, <b>Discover</b> a <b>Secret</b> and cast it.",WEAPON,2.0,,,2.0
HUNTER,6.0,61842,"Believe it or not, this is only the faire's fourth most dangerous game.",DMF_089,Maxima Blastenheimer,LEGENDARY,,"[x]<b>Battlecry:</b> Summon a minion
from your deck. It attacks the
enemy hero, then dies.",MINION,4.0,4.0,,
HUNTER,2.0,61846,They're still cleaning up the mess from the last time someone fed the basilisk a deep fried candybar.,DMF_090,Don't Feed the Animals,EPIC,,"Give all Beasts in your hand +1/+1.
<b>Corrupt:</b> Give them +2/+2 instead.",SPELL,,,,
NEUTRAL,2.0,61898,Created to scare. Born to wriggle.,DMF_091,Wriggling Horror,COMMON,,<b>Battlecry:</b> Give adjacent minions +1/+1.,MINION,2.0,1.0,,
MAGE,2.0,61176,"""Oh, I thought it was a desert elemental?""",DMF_100,Confection Cyclone,COMMON,,<b>Battlecry:</b> Add two 1/2 Sugar Elementals to your hand.,MINION,3.0,2.0,['ELEMENTAL'],
MAGE,5.0,61177,The brightest spark can still go dark.,DMF_101,Firework Elemental,COMMON,,"[x]<b>Battlecry:</b> Deal 3 damage
to a minion. <b>Corrupt:</b>
Deal 12 instead.",MINION,3.0,5.0,['ELEMENTAL'],
MAGE,2.0,61178,"""You hear the mrgrgls of angry murlocs approaching. Roll initiative!""",DMF_102,Game Master,COMMON,,The first <b>Secret</b> you play each turn costs (1).,MINION,2.0,3.0,,
MAGE,7.0,61179,"Hide in the mask, but it will wear you. Through its gleaming eye, you shall see true.",DMF_103,Mask of C'Thun,RARE,SHADOW,Deal $10 damage randomly split among all enemies.,SPELL,,,,
MAGE,8.0,61180,"Considering all the other hazards at Darkmoon, overindulgent pyrotechnics seem downright pedestrian.",DMF_104,Grand Finale,RARE,FIRE,Summon an 8/8 Elemental. Repeat for each Elemental you played last turn.,SPELL,,,,
MAGE,4.0,61291,"If you liked it, then you shoulda put a ring on it!",DMF_105,Ring Toss,RARE,,<b>Discover</b> a <b>Secret</b> and cast it. <b>Corrupt:</b> <b>Discover</b> 2 instead.,SPELL,,,,
MAGE,4.0,61584,"Like mirror image, but more secretive and angsty.",DMF_106,Occult Conjurer,EPIC,,"<b>Battlecry:</b> If you control a <b>Secret</b>, summon a copy of this.",MINION,4.0,4.0,,
MAGE,3.0,61585,What's faire is fair.,DMF_107,Rigged Faire Game,EPIC,,"<b>Secret:</b> If you didn't take any damage during your opponent's turn, draw 3 cards.",SPELL,,,,
MAGE,2.0,61587,"Voted ""Most Lunacy"" in Madness Monthly magazine.",DMF_108,Deck of Lunacy,LEGENDARY,,Transform spells in your deck into ones that cost (3) more. <i>(They keep their original Cost.)</i>,SPELL,,,,
MAGE,6.0,61589,There are no secrets between us... or refunds.,DMF_109,"Sayge, Seer of Darkmoon",LEGENDARY,,"<b>Battlecry:</b> Draw 1 card.
<i>(Upgraded for each
friendly <b>Secret</b> that has
triggered this game!)</i>",MINION,5.0,5.0,,
WARLOCK,4.0,61202,"""Phew! That skull has been stuck between my teeth for hours!""",DMF_110,Fire Breather,RARE,,<b>Battlecry:</b> Deal 2 damage to all minions except Demons.,MINION,4.0,3.0,['DEMON'],
WARLOCK,3.0,61203,"""E.T.C. is sooo mainstream. Have you heard of Blight Boar?""",DMF_111,Man'ari Mosher,COMMON,,<b>Battlecry:</b> Give a friendly Demon +3 Attack and <b>Lifesteal</b> this turn.,MINION,3.0,4.0,['DEMON'],
WARLOCK,3.0,61205,"""Quick, get in before someone sees you, or worse, someone sees me.""",DMF_113,Free Admission,RARE,,"Draw 2 minions. If they're both Demons, reduce their Costs by (2).",SPELL,,,,
WARLOCK,2.0,61206,Faire owners hate him! Learn his secrets with one simple spell!,DMF_114,Midway Maniac,COMMON,,<b>Taunt</b>,MINION,1.0,5.0,['DEMON'],
WARLOCK,3.0,61207,Turns out his face really did get stuck that way.,DMF_115,Revenant Rascal,EPIC,,<b>Battlecry:</b> Destroy a Mana Crystal for each player.,MINION,3.0,3.0,,
PRIEST,4.0,61208,"Used to be called ""             , the Nameless,"" but everyone got confused.",DMF_116,The Nameless One,LEGENDARY,,"<b>Battlecry:</b> Choose a minion. Become a 4/4 copy of it, then <b>Silence</b> it.",MINION,4.0,4.0,,
WARLOCK,4.0,61254,"Please keep all hands, arms, feet and legs inside the ride until the monster comes to a complete stop.",DMF_117,Cascading Disaster,EPIC,,"[x]Destroy a random enemy
minion. <b>Corrupt:</b> Destroy 2.
<b>Corrupt Again:</b> Destroy 3.",SPELL,,,,
WARLOCK,6.0,61646,"""These are all.... EXPIRED!""",DMF_118,Tickatus,LEGENDARY,,"[x]<b>Battlecry:</b> Remove the
top 5 cards from your deck.
<b>Corrupt:</b> Your opponent's
deck instead.",MINION,8.0,8.0,['DEMON'],
WARLOCK,1.0,61648,"When the Old Ones whisper, others will scream.",DMF_119,Wicked Whispers,RARE,SHADOW,Discard your lowest Cost card. Give your minions +1/+1.,SPELL,,,,
PRIEST,3.0,61642,"Her first stage name, Ketchupweaver, failed to excite the audience.",DMF_120,Nazmani Bloodweaver,RARE,,"[x]After you cast a spell,
reduce the Cost of a random
card in your hand by (1).",MINION,2.0,5.0,,
PRIEST,5.0,61643,"""I see a giant piano in your future.""",DMF_121,Fortune Teller,COMMON,,"[x]<b>Taunt</b>
<b>Battlecry:</b> Gain +1/+1 for
each spell in your hand.",MINION,3.0,3.0,['MECHANICAL'],
HUNTER,1.0,61682,"Yeah, but the mystery prize could be anything! Even a boat!",DMF_122,Mystery Winner,COMMON,,<b>Battlecry:</b> <b>Discover</b> a <b>Secret.</b>,MINION,1.0,1.0,,
HUNTER,2.0,61683,"""Coming out of my cage, and I'm dead by turn nine...""",DMF_123,Open the Cages,COMMON,,"[x]<b>Secret:</b> When your
turn starts, if you control
 two minions, summon an
Animal Companion.",SPELL,,,,
NEUTRAL,2.0,61685,Stop picking at it! You’re only making it worse.,DMF_124,Horrendous Growth,EPIC,,<b>Corrupt:</b> Gain +1/+1. Can be <b>Corrupted</b> endlessly.,MINION,2.0,2.0,,
NEUTRAL,1.0,62049,"""All right, you're good. No sign of safety anywhere.""",DMF_125,Safety Inspector,RARE,,"[x]<b>Battlecry:</b> Shuffle the
 lowest-Cost card from
 your hand into your
 deck. Draw a card.",MINION,1.0,3.0,,
NEUTRAL,9.0,60926,Send in the clowns!,DMF_163,Carnival Clown,EPIC,,"[x]<b>Taunt</b>
<b>Battlecry:</b> Summon 2 copies
of this. <b>Corrupt:</b> Fill your
board with copies.",MINION,4.0,4.0,,
NEUTRAL,4.0,60979,"Just be careful not to mix this with any creepy eyeballs, tentacles, or dark whispers, and you'll be fine in the morning.",DMF_174,Circus Medic,COMMON,,<b>Battlecry:</b> Restore #4 Health. <b>Corrupt:</b> Deal 4 damage instead.,MINION,3.0,4.0,,
PRIEST,3.0,61268,"""What did Illidan say when his rocketeer broke down on the Darkmoon racetrack? YOU ARE NOT REPAIRED!""",DMF_184,Fairground Fool,COMMON,,"<b>Taunt</b>
<b>Corrupt:</b> Gain +4 Health.",MINION,4.0,3.0,,
PRIEST,4.0,61283,"""I'm not AWE-spicious, but I am a little spicious.""",DMF_186,Auspicious Spirits,RARE,SHADOW,"Summon a random
4-Cost minion.
<b>Corrupt:</b> Summon a
7-Cost minion instead.",SPELL,,,,
PRIEST,3.0,61282,Actual palms not required.,DMF_187,Palm Reading,RARE,SHADOW,<b>Discover</b> a spell. Reduce the Cost of spells in your hand by (1).,SPELL,,,,
NEUTRAL,10.0,61308,"Y'Shaarj made an excellent office intern, doing the copying AND defiling.",DMF_188,"Y'Shaarj, the Defiler",LEGENDARY,,"[x]<b>Battlecry:</b> Add a copy of each
<b>Corrupted</b> card you've played
this game to your hand.
They cost (0) this turn.",MINION,10.0,10.0,,
NEUTRAL,2.0,61297,Just remember not to talk. It breaks character.,DMF_189,Costumed Entertainer,COMMON,,"[x]<b>Battlecry:</b> Give a random
minion in your hand +2/+2.",MINION,1.0,2.0,,
NEUTRAL,4.0,61298,The original flaming chicken.,DMF_190,Fantastic Firebird,COMMON,,<b>Windfury</b>,MINION,3.0,5.0,"['ELEMENTAL', 'BEAST']",
NEUTRAL,2.0,61299,This act is killing it!,DMF_191,Showstopper,COMMON,,<b>Deathrattle:</b> <b>Silence</b> all minions.,MINION,3.0,2.0,,
PALADIN,2.0,61305,Sir Finley made this look a lot easier three expansions ago...,DMF_194,Redscale Dragontamer,COMMON,,<b>Deathrattle:</b> Draw a Dragon.,MINION,2.0,3.0,['MURLOC'],
PALADIN,2.0,61306,"""I'll have two monster churros, a combo box of Yogg-Saron, and one of those turkey legs that ate the Silver Hand Recruit.""",DMF_195,Snack Run,RARE,,<b>Discover</b> a spell. Restore Health to your hero equal to its Cost.,SPELL,,,,
NEUTRAL,5.0,60892,"So long as it doesn’t kill you, it's considered part of the ride ""experience.""",DMF_202,Derailed Coaster,RARE,,<b>Battlecry:</b> Summon a 1/1 Rider with <b>Rush</b> for each minion in your hand.,MINION,3.0,2.0,,
DEMONHUNTER,3.0,61123,"There are two things Demon Hunters know: hopping, and cutting.",DMF_217,Line Hopper,COMMON,,Your <b>Outcast</b> cards cost (1) less.,MINION,3.0,4.0,,
DEMONHUNTER,3.0,61125,"If you steal a Demon Hunter's corn dog, you'll get what's coming.",DMF_219,Relentless Pursuit,COMMON,,Give your hero +4 Attack and <b>Immune</b> this turn.,SPELL,,,,
DEMONHUNTER,1.0,61127,All the souls start running when they see the felscream truck.,DMF_221,Felscream Blast,COMMON,FEL,<b>Lifesteal</b>. Deal $1 damage to a minion and its neighbors.,SPELL,,,,
DEMONHUNTER,2.0,61128,"""Look at this stick. Look at it!""",DMF_222,Redeemed Pariah,COMMON,,"After you play an <b>Outcast</b> card, gain +1/+1.",MINION,2.0,3.0,,
DEMONHUNTER,4.0,61129,Cutting the assistant in half is the easy part.,DMF_223,Renowned Performer,COMMON,,"[x]<b>Rush</b>
<b>Deathrattle:</b> Summon two
  1/1 Assistants with <b>Taunt</b>.  ",MINION,3.0,3.0,,
DEMONHUNTER,7.0,61130,"When someone gets injured, it's considered performance art.",DMF_224,Expendable Performers,EPIC,,"Summon seven 1/1 Illidari with <b>Rush</b>. If they all die this turn, summon seven more.",SPELL,,,,
DEMONHUNTER,1.0,61131,"""No, no, I said SHOW me the glaive!""",DMF_225,Throw Glaive,RARE,,"Deal $2 damage to a minion. If it dies, add a <b>Temporary</b> copy of this to your hand.",SPELL,,,,
DEMONHUNTER,6.0,61132,"While you were busy learning magic, she studied the blade.",DMF_226,Bladed Lady,RARE,,"[x]<b>Rush</b>
Costs (1) if your hero has
6 or more Attack.",MINION,6.0,6.0,['DEMON'],
DEMONHUNTER,3.0,61133,"When it gets too dull, it's more of a nibble.",DMF_227,Dreadlord's Bite,COMMON,,"[x]<b>Outcast:</b> Deal 1 damage
to all enemies.",WEAPON,3.0,,,2.0
DEMONHUNTER,3.0,61135,"Circus school was tough, sometimes you had to step on people to make it to the top.",DMF_229,Stiltstepper,EPIC,,"[x]<b>Battlecry:</b> Draw a card. If you
play it this turn, give your
hero +4 Attack this turn.",MINION,4.0,1.0,,
DEMONHUNTER,4.0,61136,"Well, that just sounds like damage with extra steps.",DMF_230,Il'gynoth,LEGENDARY,,"[x]<b>Lifesteal</b>
Your <b>Lifesteal</b> damages
the enemy hero instead
of healing you.",MINION,2.0,6.0,,
